Filename,Count < 0.50,Total Records
sentence_160.csv,6,5967
sentence_89.csv,4,4896
sentence_1240.csv,276,2448
sentence_845.csv,2,3978
sentence_1109.csv,470,1122
sentence_112.csv,132,2754
sentence_1144.csv,192,4029
sentence_691.csv,0,4539
sentence_1816.csv,1174,3723
sentence_819.csv,0,3060
sentence_869.csv,0,4539
sentence_1082.csv,0,6375
sentence_479.csv,48,2652
sentence_1579.csv,74,3366
sentence_1649.csv,154,5304
sentence_314.csv,4,2091
sentence_952.csv,2,3876
sentence_1408.csv,6,3927
sentence_897.csv,10,4386
sentence_1752.csv,0,2856
sentence_970.csv,0,3723
sentence_1466.csv,112,2091
sentence_633.csv,0,6783
sentence_737.csv,746,2856
sentence_1780.csv,0,4692
sentence_1493.csv,0,2550
sentence_1668.csv,0,5100
sentence_1150.csv,0,8262
sentence_1689.csv,90,3264
sentence_1755.csv,586,3621
sentence_48.csv,0,2244
sentence_945.csv,24,2244
sentence_1047.csv,1176,2652
sentence_1182.csv,4,2244
sentence_1073.csv,0,5763
sentence_724.csv,16,5559
sentence_1114.csv,0,7446
sentence_831.csv,230,3723
sentence_1393.csv,352,5406
sentence_1186.csv,596,2652
sentence_1040.csv,80,4845
sentence_1300.csv,514,4131
sentence_267.csv,0,1683
sentence_386.csv,0,5967
sentence_33.csv,1374,1887
sentence_647.csv,84,6018
sentence_773.csv,0,3162
sentence_351.csv,0,4335
sentence_1365.csv,0,4590
sentence_218.csv,0,6834
sentence_142.csv,1656,5355
sentence_227.csv,4,3723
sentence_1671.csv,4,2856
sentence_1158.csv,0,10302
sentence_1103.csv,0,6885
sentence_1202.csv,0,4947
sentence_650.csv,964,3825
sentence_1289.csv,1168,4437
sentence_1411.csv,258,2499
sentence_1154.csv,918,2754
sentence_768.csv,2,2346
sentence_876.csv,0,6681
sentence_1522.csv,2,9843
sentence_1467.csv,1046,5610
sentence_1808.csv,20,3060
sentence_1237.csv,2132,6120
sentence_855.csv,0,3468
sentence_1786.csv,8,3111
sentence_513.csv,0,3264
sentence_684.csv,2,1479
sentence_956.csv,52,5253
sentence_1475.csv,80,5202
sentence_1306.csv,662,7191
sentence_1737.csv,0,3723
sentence_148.csv,246,7548
sentence_1337.csv,4,6936
sentence_430.csv,0,4998
sentence_1027.csv,90,6987
sentence_500.csv,92,3825
sentence_1658.csv,24,3315
sentence_519.csv,0,5712
sentence_313.csv,3032,6375
sentence_978.csv,8,9741
sentence_229.csv,0,5100
sentence_1701.csv,0,969
sentence_1439.csv,380,5151
sentence_281.csv,0,5355
sentence_943.csv,124,3570
sentence_1007.csv,0,7344
sentence_799.csv,0,3825
sentence_1506.csv,6,2040
sentence_770.csv,2,5355
sentence_1269.csv,352,2499
sentence_144.csv,0,1275
sentence_744.csv,128,6018
sentence_1265.csv,12,969
sentence_1256.csv,86,102
sentence_721.csv,14,3162
sentence_57.csv,1402,3825
sentence_639.csv,4,5508
sentence_604.csv,0,6222
sentence_646.csv,42,9027
sentence_1175.csv,1590,2397
sentence_269.csv,0,4437
sentence_620.csv,30,1785
sentence_1792.csv,22,3468
sentence_986.csv,4,459
sentence_330.csv,0,6018
sentence_1433.csv,64,6018
sentence_420.csv,64,714
sentence_1181.csv,66,6120
sentence_1259.csv,2,3213
sentence_1558.csv,0,4386
sentence_1176.csv,346,6324
sentence_969.csv,4,4641
sentence_866.csv,730,5253
sentence_1022.csv,30,5151
sentence_24.csv,2,6273
sentence_1797.csv,2,3978
sentence_1261.csv,0,6579
sentence_1196.csv,2,3213
sentence_1080.csv,250,4590
sentence_1650.csv,0,6426
sentence_496.csv,0,3621
sentence_1033.csv,0,4743
sentence_1000.csv,2,7293
sentence_784.csv,0,5865
sentence_30.csv,32,1479
sentence_1232.csv,2,3264
sentence_1495.csv,188,5610
sentence_243.csv,248,5865
sentence_1297.csv,1766,3774
sentence_1812.csv,230,3315
sentence_297.csv,12,4029
sentence_1350.csv,246,1224
sentence_483.csv,0,1887
sentence_617.csv,3558,7599
sentence_473.csv,0,3315
sentence_131.csv,0,4896
sentence_1691.csv,76,2652
sentence_1642.csv,2,7038
sentence_413.csv,4,1734
sentence_1469.csv,2,1326
sentence_1015.csv,16,4896
sentence_852.csv,2,3417
sentence_862.csv,218,3774
sentence_113.csv,38,2040
sentence_613.csv,184,1326
sentence_108.csv,60,3264
sentence_259.csv,14,6681
sentence_664.csv,1056,3264
sentence_1619.csv,758,3621
sentence_12.csv,72,4896
sentence_18.csv,0,4284
sentence_635.csv,10,5457
sentence_1111.csv,0,2397
sentence_1205.csv,0,3774
sentence_236.csv,210,2244
sentence_448.csv,88,6273
sentence_1135.csv,2,2652
sentence_1138.csv,0,1020
sentence_440.csv,74,6732
sentence_641.csv,226,969
sentence_1496.csv,0,5661
sentence_1748.csv,512,8619
sentence_447.csv,16,1581
sentence_355.csv,140,1734
sentence_1669.csv,246,1632
sentence_814.csv,2,1275
sentence_590.csv,700,3672
sentence_1766.csv,218,4896
sentence_1249.csv,2,6477
sentence_365.csv,0,1938
sentence_87.csv,124,3417
sentence_1806.csv,8,3876
sentence_100.csv,164,969
sentence_474.csv,256,1326
sentence_960.csv,2,1428
sentence_25.csv,0,3417
sentence_1700.csv,4,765
sentence_315.csv,14,2754
sentence_812.csv,0,3774
sentence_1749.csv,0,2805
sentence_629.csv,66,4641
sentence_1343.csv,24,5049
sentence_683.csv,182,4335
sentence_273.csv,4,6171
sentence_501.csv,212,3417
sentence_1446.csv,0,4947
sentence_7.csv,34,6069
sentence_1817.csv,0,3111
sentence_331.csv,0,7038
sentence_1140.csv,234,918
sentence_1312.csv,50,3009
sentence_136.csv,156,1071
sentence_1422.csv,24,2550
sentence_1409.csv,84,2499
sentence_832.csv,0,6018
